"plate_id","batch","temperature","day","isolate","biorep","media","dilution","time","platingrep","counted_colonies","concentration_from_sphereflash","dilution_factor"
"B8_10_2_S12-0141_1_BHIrif_-1_24_1","B8","10",2,"S12-0141",1,"BHIrif",-1,"24",1,94,18800,10
"B8_10_2_S12-0132_1_BHI_-1_24_1","B8","10",2,"S12-0132",1,"BHI",-1,"24",1,116,25520,11
"B8_10_2_S12-0132_1_BHIrif_-1_24_2","B8","10",2,"S12-0132",1,"BHIrif",-1,"24",2,0,0,11
"B8_10_2_S12-0132_1_BHIrif_-1_24_1","B8","10",2,"S12-0132",1,"BHIrif",-1,"24",1,0,0,11
"B8_10_2_S12-0116_1_BHI_-1_24_1","B8","10",2,"S12-0116",1,"BHI",-1,"24",1,202,109135.5547,11
"B8_10_2_S12-0116_1_BHIrif_-1_24_2","B8","10",2,"S12-0116",1,"BHIrif",-1,"24",2,0,0,11
"B8_10_3_S12-0116_1_BHIrif_-1_24_1","B8","10",3,"S12-0116",1,"BHIrif",-1,"24",1,1,200,10
"B8_10_3_S12-0116_1_BHIrif_-1_24_2","B8","10",3,"S12-0116",1,"BHIrif",-1,"24",2,0,0,10
"B8_10_3_S12-0132_1_BHI_-3_24_1","B8","10",3,"S12-0132",1,"BHI",-3,"24",1,46,976236.375,1055
"B8_10_3_S12-0132_1_BHIrif_-1_24_2","B8","10",3,"S12-0132",1,"BHIrif",-1,"24",2,1,220,11
"B8_10_3_S12-0132_1_BHIrif_-1_24_1","B8","10",3,"S12-0132",1,"BHIrif",-1,"24",1,1,220,11
"B8_10_3_S12-0116_1_BHI_-3_24_1","B8","10",3,"S12-0116",1,"BHI",-3,"24",1,149,2902520,974
"B8_10_3_S12-0141_1_BHI_-3_24_1","B8","10",3,"S12-0141",1,"BHI",-3,"24",1,38,800280,1053
"B8_10_3_S12-0141_1_BHIrif_-1_24_3","B8","10",3,"S12-0141",1,"BHIrif",-1,"24",3,509,2187109.5,11
"B8_10_3_S12-0141_1_BHIrif_-1_24_2","B8","10",3,"S12-0141",1,"BHIrif",-1,"24",2,520,2234375,11
"B8_10_4_S12-0116_1_BHIrif_-1_24_1","B8","10",4,"S12-0116",1,"BHIrif",-1,"24",1,3,600,10
"B8_10_4_S12-0132_1_BHIrif_-1_24_1","B8","10",4,"S12-0132",1,"BHIrif",-1,"24",1,1,220,11
"B8_10_4_S12-0116_1_BHI_-2_24_1","B8","10",4,"S12-0116",1,"BHI",-2,"24",1,23,48300,105
