"plate_id","batch","temperature","day","isolate","biorep","media","time","average_wrangled_conc","log_average_wrangled_conc","death_phase"
"B7_6_4_S12-0180_3_BHI_-3_24_1","B7",6,4,"S12-0180",3,"BHI",24,2314260,6.36441214900732,"no"
"B7_6_6_S12-0166_3_BHI_-4_24_1","B7",6,6,"S12-0166",3,"BHI",24,50394432,7.70238255459514,"no"
"B7_6_6_S12-0184_3_BHI_-4_24_1","B7",6,6,"S12-0184",3,"BHI",24,13929300,7.1439292920323,"no"
"B7_6_6_S12-0180_3_BHI_-2_24_1","B7",6,6,"S12-0180",3,"BHI",24,113300,5.0542299098634,"no"
"B7_6_9_S12-0166_3_BHI_-3_24_1","B7",6,9,"S12-0166",3,"BHI",24,16241391,7.21062322181121,"no"
"B7_6_9_S12-0184_3_BHI_-5_24_1","B7",6,9,"S12-0184",3,"BHI",24,116284200,8.06552070940629,"no"
"B7_6_9_S12-0180_3_BHI_-5_24_1","B7",6,9,"S12-0180",3,"BHI",24,161243152,8.20748127920334,"no"
"B7_6_12_S12-0166_3_BHI_-5_24_1","B7",6,12,"S12-0166",3,"BHI",24,87554680,7.9422793650837,"no"
"B7_6_12_S12-0184_3_BHI_-5_24_1","B7",6,12,"S12-0184",3,"BHI",24,152688640,8.18380672684792,"no"
"B7_6_12_S12-0180_3_BHI_-5_24_1","B7",6,12,"S12-0180",3,"BHI",24,41037200,7.61317772086513,"no"
"B7_6_15_S12-0166_3_BHI_-5_24_1","B7",6,15,"S12-0166",3,"BHI",24,599332032,8.77766748969229,"no"
"B7_6_15_S12-0180_3_BHI_-5_24_1","B7",6,15,"S12-0180",3,"BHI",24,975551040,8.98924999624256,"no"
"B7_6_15_S12-0184_3_BHI_-5_24_1","B7",6,15,"S12-0184",3,"BHI",24,307440640,8.48776127552921,"no"
"B7_6_18_S12-0166_3_BHI_-6_24_1","B7",6,18,"S12-0166",3,"BHI",24,527214240,8.72198713199169,"no"
"B7_6_18_S12-0180_3_BHI_-4_24_1","B7",6,18,"S12-0180",3,"BHI",24,46383480,7.66636332921141,"no"
"B7_6_18_S12-0184_3_BHI_-6_24_1","B7",6,18,"S12-0184",3,"BHI",24,415482304,8.61855253127581,"no"
"B7_6_21_S12-0166_3_BHI_-6_24_1","B7",6,21,"S12-0166",3,"BHI",24,5915118080,9.77196341861409,"no"
"B7_6_21_S12-0184_3_BHI_-6_24_1","B7",6,21,"S12-0184",3,"BHI",24,5714374656,9.75696871096785,"no"
